"statement_id","statement","speaker","party","year","label"
"3352.json","Says neither President Barack Obama nor Mexico President Felipe Calderon have been on the border to see whats happening to the citizens of Mexico and for that matter the citizens of Texas","Rick Perry","REP",2011,"half-true"
"7185.json","Says the Portland Childrens Levy holds its administrative expenses to less than 5 percent","Dan Saltzman","DEM",2012,"true"
"8564.json","The state budget has actually grown by 46 billion under Gov Scott Walkers actions","Mary Burke","DEM",2013,"half-true"
"11120.json","Since 2009 weve cut homelessness among veterans by a third","Barack Obama","DEM",2015,"mostly-true"
"5906.json","The expiration of the Bushera tax cuts  would be the biggest tax increase in the history of the country about 46 trillion over 10 years","Charles Bass","REP",2012,"barely-true"
"7293.json","The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance","Ron Desantis","REP",2013,"true"
"3006.json","I represent the fourthpoorest congressional district in the nation","Gwen Moore","DEM",2011,"false"
"4905.json","Says the congressional ethics investigation against him was conducted by a very partisan political committee in a way that related more to the politics of the Democratic Party than to ethics","Newt Gingrich","REP",2011,"pants-on-fire"
"7077.json","Says I was the first governor in America to endorse Mitt Romney","Chris Christie","REP",2012,"pants-on-fire"
"3136.json","Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security","Peter Kilmartin","DEM",2011,"half-true"
"3110.json","Republican small business tax cut bill spends 80 million for better Google searches not job creation","Cory Mason","DEM",2011,"barely-true"
"7008.json","6400 Ohioans  lost manufacturing jobs in the month of September","Mitt Romney","REP",2012,"mostly-true"
"9701.json","Says a 125 million incentive deal she approved for Abbott Laboratories contained strong protections for taxpayers if job creation goals were not met","Mary Burke","DEM",2014,"false"
"4759.json","Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect","Josh Mandel","REP",2011,"true"
"999.json","Washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu","Barack Obama","DEM",2009,"true"
"3003.json","In the last five years 28000 people have been killed along the USMexico border","Lamar Smith","REP",2010,"false"
"10671.json","Since President Obama took office in January 2009 the federal government has issued more than 468500 pages of regulations","Dave Brat","REP",2015,"barely-true"
"6807.json","Since the time of the Civil War weve made a distinction in this country between the availability and the ability to access for people who were in the military versus the rest of us to vote","Mike Dewine","REP",2012,"half-true"
"4717.json","Attacks on Planned Parenthood come at a time when the poverty rate among women is the highest in nearly two decades and 1 in 5 women under 65 dont have access to health care","Tim Ryan","DEM",2011,"mostly-true"
"9280.json","Residential property taxes in Providence are up nearly 27 percent under Mayor Taveras","Gina Raimondo","DEM",2014,"pants-on-fire"
"1578.json","The Obama administration spent more money on the Cash for Clunkers program than the space program","Marco Rubio","REP",2010,"barely-true"
"7407.json","Collectively states are spending more on Medicaid than they do on K12 education","Eric Cantor","REP",2013,"true"
"1357.json","To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law","Mike Pence","REP",2009,"half-true"
"811.json","Senator McCain would pay for part of his health care plan by making drastic cuts in Medicare 882billion worth","Barack Obama","DEM",2008,"false"
"11033.json","Weve cut the deficit by twothirds","Barack Obama","DEM",2015,"mostly-true"
"4001.json","The WIC program is an incredibly cost effective program serving nearly 10 million Americans each year and costing less than 100 per person In my district more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet","David Cicilline","DEM",2011,"pants-on-fire"
"9014.json","We have invested record funding in protecting our environment","Rick Scott","REP",2014,"false"
"7516.json","There are 36 million jobs sitting vacant in part because there arent enough qualified applicants to fill them","Virginia Foxx","REP",2013,"mostly-true"
"74.json","Health insurance premiums have almost doubled  since 2000","Hillary Clinton","DEM",2007,"true"
"9695.json","We did not seek an impeachment of President Bush","Sheila Jackson Lee","DEM",2014,"barely-true"
"1112.json","As many as 22000 Americans die each year because they dont have health insurance","Bill Pascrell","DEM",2009,"half-true"
"7533.json","Of every three dollars in food stamps for the needy seven dollars in salaries and pensions go to the bureaucrats who are supposed to be taking care of the poor","Michele Bachmann","REP",2013,"pants-on-fire"
"2196.json","Repealing the sales tax on boats in Rhode Island has spawned 2000 companies 7000 jobs and close to 2 billion a year in sales activity","Donald Carcieri","REP",2010,"half-true"
"5049.json","Says there were only about eight or 10 inflammatory sentences in his newsletters","Ron Paul","REP",2011,"false"
"4425.json","Since the beginning of the year weve created a net increase of 45000 jobs","John Kasich","REP",2011,"barely-true"
"5864.json","We will not ask for a tax increase to run city government","C Wharton","DEM",2012,"mostly-true"
"3287.json","Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today","Lena Taylor","DEM",2011,"pants-on-fire"
"4612.json","According to Wikipedia there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth","Alan Grayson","DEM",2011,"true"
"4252.json","Central Falls schools are overfunded by state money by as much as 8 million","Daniel Mckee","DEM",2011,"half-true"
"2998.json","House Speaker Dean Cannon says that freshmen lawmakers account for onethird of the 120member House and that twothirds of the chamber have two years or less experience","Dean Cannon","REP",2010,"true"
"5445.json","Weve seen in this last year tremendous things happening including our unemployment rate come down 2 percentage points","Cory Booker","DEM",2012,"false"
"4625.json","If a President Romney got a call from the president of the Mormon church he has no choice but to obey It is obedience over family and country","Fred Karger","REP",2011,"pants-on-fire"
"10536.json","22 times Barack Obama said he did not have the authority to implement this type of antideportation measure And then the day after he signed this into law he said quote I just changed the law","Greg Abbott","REP",2015,"mostly-true"
"7159.json","Social Security has not contributed to the debt and the deficits","Jeanne Shaheen","DEM",2012,"barely-true"
"8639.json","I have cut taxes 63 times including a 2006 property tax reduction that ranks as the largest in state history","David Dewhurst","REP",2013,"barely-true"
"7997.json","More Americans receive food aid than work in the private sector","Allen West","REP",2013,"false"
"2180.json","Ninetyfour percent of small businesses will face higher taxes under the Democrats plan","Randy Neugebauer","REP",2010,"pants-on-fire"
"8680.json","Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court","Wendy Davis","DEM",2013,"half-true"
"10380.json","Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago","Gwen Moore","DEM",2015,"mostly-true"
"2087.json","The War in Afghanistan is officially the longest war Americans have ever been asked to endure","Dennis Kucinich","DEM",2010,"true"
"11084.json","Texas still owns all of its public lands If the federal govt wants to create a park they must ask permission","Glenn Hegar","REP",2015,"half-true"
"9533.json","US Senate candidate Jack Kingston requested more earmarks than any other GA Congressman and all GA GOP members combined","David Perdue","REP",2014,"mostly-true"
"3142.json","The economy we preside over today is better than the one we inherited","Hank Johnson","DEM",2011,"barely-true"
"9735.json","Austin mayoral candidate Mike Martinez takes corporate money","Eugene Sepulveda","DEM",2014,"pants-on-fire"
"5120.json","One year today since GOP took control of the House and no new jobs","Frank Pallone Jr","DEM",2012,"false"
"9753.json","Wisconsin is 1 in the Midwest for personal income growth over the year","Scott Walker","REP",2014,"true"
"1796.json","The city of Houston now has more debt per capita than California","Rick Perry","REP",2010,"half-true"
"5233.json","Says Wisconsin Democrats during the previous administration adopted doubledigit tax increases","Scott Walker","REP",2012,"mostly-true"
"809.json","98 percent of small businesses make less than 250000 and would not see a tax increase under Barack Obamas plan","Barack Obama","DEM",2008,"true"
"5912.json","Says Mitt Romney would deny gay people the right to adopt children","Barack Obama","DEM",2012,"false"
"5889.json","Says Democratic recall opponent Tom Barrett is campaigning on lifting property tax limits","Scott Walker","REP",2012,"barely-true"
"6978.json","Virginia papers called Scott Rigells campaign Mostly False","Paul Hirschbiel","DEM",2012,"pants-on-fire"
"625.json","John McCain worries about nuclear waste in Arizona but not in Nevada","Barack Obama","DEM",2008,"barely-true"
"7029.json","Says Barack Obama sold Chrysler to Italians who are going to build Jeeps in China at the cost of American jobs","Mitt Romney","REP",2012,"pants-on-fire"
"8839.json","Over the past eight years the United States has reduced our total carbon pollution more than any other nation on Earth","Barack Obama","DEM",2014,"half-true"
"528.json","John McCain stood up to the president and sounded the alarm on global warming  five years ago","John Mccain","REP",2008,"true"
"2647.json","Carly Fiorina shes against banning assault weapons","Barbara Boxer","DEM",2010,"mostly-true"
"828.json","Obama says Iran is a tiny country doesnt pose a serious threat","John Mccain","REP",2008,"false"
"2631.json","Says Tom Hughes supports paving over thousands of acres with overdevelopment and sprawl","Bob Stacey","DEM",2010,"false"
"8448.json","Says Barbara Buono voted to raise her own pay 40 percent","Chris Christie","REP",2013,"mostly-true"
"3113.json","Two years after the worst recession most of us have ever known  corporate profits are up","Barack Obama","DEM",2011,"true"
"3129.json","Since taking office President Obama has signed into law spending increases of nearly 25 percent for domestic government agencies an 84 percent increase when you include the failed stimulus","Paul Ryan","REP",2011,"half-true"
"4743.json","Corrupt political bosses Money laundering Fraud Its just another day at the office for Vin Gopal","New Jersey Republican State Committee","REP",2011,"pants-on-fire"
"159.json","Heres a man who brags about how he made the city safe It was the Biden crime bill that became the Clinton crime bill that allowed him to do that","Joe Biden","DEM",2007,"barely-true"
"538.json","Barack Obama passed laws moving people from welfare to work","Barack Obama","DEM",2008,"mostly-true"
"5913.json","Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants","Conservative Renewal Pac","REP",2012,"barely-true"
"915.json","Our economy could fall 1 trillion short of its full capacity which translates into more than 12000 in lost income for a family of four","Barack Obama","DEM",2009,"half-true"
"6328.json","Says Mitt Romney backed a bill that outlaws all abortions even in cases of rape and incest","Barack Obama","DEM",2012,"pants-on-fire"
"10126.json","My opponent supported policies that increased tuition by 18 percent","Scott Walker","REP",2014,"false"
"246.json","Huckabee granted 1033 pardons and commutations    more clemencies than the previous three governors combined","Mitt Romney","REP",2007,"true"
"4707.json","New Jersey alone my home state is facing a tenandahalf billion dollar shortfall in its 2012 fiscal budget This means more cuts in state and local spending for education which means our kids are hurt","Robert Menendez","DEM",2011,"false"
"5599.json","Says Lake Erie contains more native fish than all the other Great Lakes combined","Marcy Kaptur","DEM",2012,"mostly-true"
"5936.json","Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms","Craig James","REP",2012,"pants-on-fire"
"11080.json","Texas high school graduation rate went from 27th in the country in 2002 to second highest in the country in 2013","Rick Perry","REP",2015,"barely-true"
"8623.json","The minimum wage in real terms right now is below where it was when Harry Truman was in office","Barack Obama","DEM",2013,"half-true"
"5075.json","Says hes proposed the largest employer contribution to the Virginia Retirement System in history","Bob Mcdonnell","REP",2012,"true"
"4299.json","Says a Senate resolution would restore 140 in monthly general assistance payments and prevent people from committing crime","Sandra Cunningham","DEM",2011,"pants-on-fire"
"5783.json","The number of new businesses started per year has dropped by 100000 during this presidents term","Mitt Romney","REP",2012,"half-true"
"3214.json","If you shut down Amtraks Northeast Corridor its estimated youd have to add seven new lanes to I95 to accommodate the increased traffic","Joe Biden","DEM",2011,"barely-true"
"3886.json","Out of 150000 tenured teachers in the last 10 years only 17 have been dismissed for incompetence","Chris Christie","REP",2011,"mostly-true"
"2077.json","The first professional baseball team was from an Ohio city","Yvette Mcgee Brown","DEM",2010,"true"
"10358.json","A recent economic uptick appears to coincide with the expectation of a new Republican Congress","Mitch Mcconnell","REP",2015,"false"
